"mid","oid","q1","q2","q3","q4","q5","uniqueid","q6"
"43","0","2","2","2","3","3","32543","2"
"43","0","2","2","2","3","3","32544","2"
"43","1","2","2","2","3","3","32545","0"
"43","2","3","2","2","3","3","32546","2"
"43","3","2","2","2","3","3","32547","5"
"43","4","1","2","2","3","3","32548","0"
"43","5","1","2","2","3","3","32549","0"
"43","6","2","2","2","3","3","32550","2"
"43","7","1","2","2","3","3","32551","0"
"43","8","1","2","2","3","3","32552","0"
"43","9","1","2","2","3","3","32553","0"
"43","10","1","2","2","3","3","32554","0"
"56","0","1","2","2","3","3","32555","0"
"43","11","1","2","2","3","3","32556","0"
"56","1","1","2","2","3","3","32557","0"
"56","2","1","2","2","3","3","32558","0"
"43","12","1","2","2","3","3","32559","0"
"56","3","1","2","2","3","3","32560","0"
"43","13","1","2","2","3","3","32561","0"
"56","4","1","2","2","3","3","32562","0"
"43","14","1","2","2","3","3","32563","0"
"76","0","4","2","2","1","1","32564","0"
"56","5","1","2","2","3","3","32565","0"
"56","6","1","2","2","3","3","32566","0"
"43","15","1","2","2","3","3","32567","0"
"76","1","1","2","2","3","3","32568","0"
"56","7","1","2","2","3","3","32569","0"
"43","16","1","2","2","3","3","32570","0"
"43","17","1","2","2","3","3","32571","0"
"56","8","1","2","2","3","3","32572","0"
"76","2","2","2","2","1","1","32573","0"
"43","18","1","2","2","3","3","32574","0"
"43","19","1","2","2","3","3","32575","0"
"56","9","1","2","2","3","3","32576","0"
"43","20","1","2","2","3","3","32577","0"
"76","3","1","2","2","3","3","32578","0"
"56","10","1","2","2","3","3","32579","0"
"43","21","2","2","2","1","1","32580","0"
"43","22","1","2","2","3","3","32581","0"
"56","11","1","2","2","3","3","32582","0"
"76","4","1","2","2","3","3","32583","0"
"57","0","1","2","2","3","3","32584","0"
"57","1","1","2","2","3","3","32585","0"
"57","1","1","2","2","3","3","32586","0"
"76","5","5","1","1","1","1","32587","100"
"56","11","1","2","2","3","3","32588","0"
"57","2","1","2","2","3","3","32589","0"
"160","0","1","2","2","3","3","32590","0"
"76","6","1","2","2","3","3","32591","0"
"56","12","1","2","2","3","3","32592","0"
"43","23","1","2","2","3","3","32593","0"
"76","7","1","2","2","3","3","32594","0"
"56","13","1","2","2","3","3","32595","0"
"76","8","1","2","2","3","3","32596","0"
"43","24","1","2","2","3","3","32597","0"
"56","14","1","2","2","3","3","32598","0"
"76","9","1","2","2","3","3","32599","0"
"57","3","1","2","2","3","3","32600","0"
"43","25","1","2","2","3","3","32601","0"
"76","10","1","2","2","3","3","32602","0"
"56","15","1","2","2","3","3","32603","0"
"76","11","1","2","2","3","3","32604","0"
"43","26","1","2","2","3","3","32605","0"
"76","12","1","2","2","3","3","32606","0"
"76","13","1","2","2","3","3","32607","0"
"56","16","1","2","2","3","3","32608","0"
"43","27","1","2","2","3","3","32609","0"
"57","3","1","2","2","3","3","32610","0"
"76","14","1","2","2","3","3","32611","0"
"76","15","1","2","2","3","3","32612","0"
"39","0","2","2","2","1","2","32613","0"
"43","28","1","2","2","3","3","32614","0"
"160","1","2","2","2","3","3","32615","0"
"76","16","1","2","2","3","3","32616","0"
"43","29","1","2","2","3","3","32617","0"
"76","17","1","2","2","3","3","32618","0"
"76","18","1","2","2","3","3","32619","0"
"43","30","1","2","2","3","3","32620","0"
"39","1","1","2","2","3","3","32621","0"
"56","17","1","2","2","3","3","32622","0"
"76","19","1","2","2","3","3","32623","0"
"56","18","1","2","2","3","3","32624","0"
"4","0","2","1","2","2","2","32625","0"
"76","20","1","2","2","3","3","32626","0"
"56","19","1","2","2","3","3","32627","0"
"160","2","2","2","2","3","3","32628","0"
"76","21","1","2","2","3","3","32629","0"
"56","20","1","2","2","3","3","32630","0"
"76","22","1","2","2","3","3","32631","0"
"0","1","4","1","2","2","1","32632","39"
"56","21","1","2","2","3","3","32633","0"
"76","23","1","2","2","3","3","32634","0"
"43","31","3","2","2","1","1","32635","1"
"56","22","1","2","2","3","3","32636","0"
"76","24","1","2","2","3","3","32637","0"
"43","32","1","2","2","3","3","32638","0"
"160","3","2","2","2","3","3","32639","0"
"76","25","1","2","2","3","3","32640","0"
"56","23","1","2","2","3","3","32641","0"
"4","1","1","2","2","3","3","32642","0"
"76","26","1","2","2","3","3","32643","0"
"43","33","1","2","2","3","3","32644","0"
"56","24","1","2","2","3","3","32645","0"
"39","2","2","1","2","1","1","32646","0"
"76","27","1","2","2","3","3","32647","0"
"4","2","1","2","2","3","3","32648","0"
