"mid","q1","q2","q3","q4"
"0","0","0","0","0"
"1","5","1","3","1"
"2","6","5","4","4"
"3","6","2","6","4"
"4","2","2","3","1"
"5","5","5","3","4"
"6","1","7","1","7"
"7","4","4","4","5"
"8","3","3","3","1"
"10","4","5","6","3"
"11","3","4","2","5"
"12","7","1","5","2"
"13","2","2","2","2"
"14","4","5","5","5"
"15","5","5","7","7"
"16","6","1","6","7"
"17","7","1","7","6"
"18","5","3","5","3"
"19","3","1","4","4"
"20","1","7","1","1"
"21","1","7","3","7"
"22","3","4","4","4"
"24","1","1","1","2"
"25","6","3","5","3"
"26","6","2","4","4"
"27","5","3","5","2"
"29","6","1","5","4"
"31","1","6","1","7"
"32","6","6","6","2"
"33","4","4","4","2"
"34","1","1","1","1"
"35","4","4","2","2"
"36","7","1","7","1"
"37","1","1","5","4"
"39","4","3","3","3"
"40","6","3","3","4"
"43","5","4","4","4"
"44","1","1","1","1"
"45","2","3","3","2"
"46","4","5","4","3"
"47","7","1","7","3"
"48","1","2","1","1"
"49","1","1","1","1"
"50","1","1","1","1"
"51","4","5","5","5"
"52","2","2","1","3"
"53","4","3","3","3"
"54","3","4","4","4"
"55","1","1","1","1"
"56","5","6","5","6"
"57","6","6","6","4"
"58","1","7","7","7"
"59","4","4","5","3"
"60","6","3","5","3"
"62","5","1","5","4"
"63","7","2","5","4"
"64","7","1","7","7"
"65","7","1","7","1"
"66","7","1","7","7"
"67","1","2","2","4"
"69","1","1","1","1"
"70","1","2","2","6"
"71","4","2","3","2"
"72","1","1","1","1"
"73","3","3","5","4"
"74","2","3","4","4"
"75","1","1","1","1"
"76","7","1","7","1"
"77","4","3","3","4"
"78","7","1","7","7"
"79","6","2","4","4"
"80","1","1","2","1"
"81","4","5","4","4"
"82","5","2","5","3"
"83","1","1","1","1"
"84","6","1","3","4"
"86","5","3","5","3"
"87","1","1","1","1"
"88","7","1","7","1"
"89","1","1","1","1"
"90","1","1","1","1"
"91","1","1","1","1"
"92","1","1","1","1"
"93","1","1","1","1"
"94","1","4","4","3"
"95","5","5","6","2"
"96","5","1","3","2"
"97","5","5","4","4"
"98","6","5","6","7"
"99","3","5","4","4"
"100","2","2","3","2"
"101","1","7","2","6"
"102","4","4","4","4"
"104","7","3","7","4"
"105","7","1","7","7"
"106","5","5","5","6"
"107","7","1","7","1"
"108","4","4","4","5"
"109","3","3","2","2"
"110","7","6","5","5"
"111","1","1","1","1"
"112","6","7","5","6"
"113","5","3","5","4"
"114","6","2","4","4"
"116","2","3","6","3"
"117","5","1","6","3"
"118","7","1","7","1"
"119","5","2","6","2"
"120","4","3","6","3"
"122","4","4","5","5"
"123","1","4","3","4"
"125","5","4","4","3"
"126","7","6","5","1"
"127","5","5","6","5"
"128","2","1","1","1"
"129","5","5","3","5"
"130","3","5","3","7"
"131","4","4","6","2"
"132","3","2","4","5"
"133","7","1","7","1"
"134","7","1","6","2"
"135","5","2","2","3"
"136","6","2","5","4"
"137","4","4","4","4"
"138","6","4","3","4"
"141","1","1","2","1"
"142","5","2","2","2"
"143","3","3","5","5"
"144","3","3","3","4"
"146","5","3","5","3"
"148","4","4","5","5"
"149","5","5","5","4"
"152","7","1","7","2"
"154","3","4","5","5"
"155","1","7","2","7"
"156","5","6","6","6"
"157","3","3","6","2"
"158","7","1","7","1"
"160","6","3","5","4"
"161","4","4","4","4"
"162","6","2","4","3"
"163","6","3","6","4"
"164","6","3","6","5"
"165","5","3","5","3"
"167","5","5","5","5"
"168","1","3","3","3"
"169","7","3","7","1"
"170","7","1","7","7"
"171","1","2","2","3"
"172","4","3","2","3"
"173","3","3","2","3"
"174","7","3","4","3"
"175","7","1","6","3"
"176","1","1","1","1"
"180","7","1","7","4"
