"mid","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10"
"0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","0"
"2","2","2","1","1","1","1","2","1","2","2"
"3","1","2","2","3","2","2","0","1","0","1"
"4","1","2","1","2","2","2","3","2","3","1"
"5","1","1","1","2","2","2","1","2","0","1"
"6","1","3","2","3","2","3","3","2","0","1"
"7","2","1","1","1","2","2","1","2","1","1"
"8","1","2","1","1","2","1","2","2","0","0"
"10","2","3","2","1","0","3","0","3","3","0"
"11","1","2","2","1","2","2","1","1","3","1"
"12","1","1","1","1","3","2","2","3","1","1"
"13","1","1","1","1","1","1","1","1","1","1"
"14","3","3","3","3","3","3","2","3","3","1"
"15","1","1","2","2","1","0","3","2","2","0"
"16","0","0","0","0","0","0","0","0","0","0"
"17","1","1","1","1","1","1","1","1","1","1"
"18","0","3","2","2","1","3","2","3","3","1"
"19","2","1","2","2","2","1","2","3","2","2"
"20","3","3","3","3","3","3","3","3","3","3"
"21","3","1","2","3","3","3","3","3","3","3"
"22","3","1","2","2","3","3","2","3","2","2"
"24","0","0","1","3","2","2","2","2","2","2"
"25","2","0","0","3","1","2","0","2","0","0"
"26","2","0","2","2","1","1","2","1","0","1"
"27","2","0","2","1","1","1","0","3","0","0"
"29","2","2","2","2","2","2","2","3","1","2"
"31","1","1","2","3","1","2","2","2","1","1"
"32","2","1","2","2","3","2","2","3","2","0"
"33","1","1","1","2","2","2","2","2","2","1"
"34","0","0","0","0","0","0","0","0","0","0"
"35","2","3","3","2","3","3","3","2","1","1"
"36","2","2","1","1","2","2","1","2","1","1"
"37","1","1","1","2","2","1","1","1","0","0"
"39","2","1","1","1","0","2","1","2","2","2"
"40","1","2","1","1","1","1","1","2","1","1"
"41","0","0","0","0","0","0","0","0","0","0"
"43","1","1","0","1","1","1","0","1","1","1"
"44","0","0","0","0","0","0","0","0","0","0"
"45","1","0","1","1","2","1","1","0","1","0"
"46","1","1","1","1","1","1","1","1","1","1"
"47","1","0","0","0","2","1","0","2","0","0"
"48","0","0","0","0","0","0","0","0","0","0"
"49","0","0","1","0","0","0","0","0","0","0"
"50","0","0","0","0","0","0","0","0","0","0"
"51","1","1","1","1","1","1","1","1","1","1"
"52","1","1","2","0","1","1","1","0","1","1"
"53","2","2","1","2","3","2","2","3","2","2"
