mid,curr_page,oid,qid,time_stamp,test
1,info,0,1,1566960992477,1
1,info,0,2,1566960994356,1
1,info,0,3,1566961000245,1
1,info,0,4,1566961003362,1
1,info,0,5,1566961004902,1
1,info,0,6,1566961007969,1
1,my_bigfive,0,1,1566961062339,2
1,my_bigfive,0,2,1566961064609,2
1,my_bigfive,0,3,1566961075497,2
1,my_bigfive,0,4,1566961078073,2
1,my_bigfive,0,5,1566961079707,2
1,my_bigfive,0,6,1566961081158,2
1,my_bigfive,0,7,1566961082306,2
1,my_bigfive,0,8,1566961083922,2
1,my_bigfive,0,9,1566961085056,2
1,my_bigfive,0,10,1566961086397,2
1,my_bigfive,0,11,1566961087407,2
1,my_bigfive,0,12,1566961088812,2
1,my_bigfive,0,13,1566961089825,2
1,my_bigfive,0,14,1566961090922,2
1,my_bigfive,0,15,1566961092048,2
1,my_bigfive,0,16,1566961093447,2
1,my_bigfive,0,17,1566961095089,2
1,my_bigfive,0,18,1566961096614,2
1,my_bigfive,0,19,1566961097987,2
1,my_bigfive,0,20,1566961098732,2
1,depression,0,1,1566961102639,3
1,depression,0,2,1566961103738,3
1,depression,0,3,1566961104769,3
1,depression,0,4,1566961105828,3
1,depression,0,5,1566961106856,3
1,depression,0,6,1566961107846,3
1,depression,0,7,1566961108961,3
1,depression,0,8,1566961109996,3
1,depression,0,9,1566961111271,3
1,lonely,0,1,NA,4
1,lonely,0,2,NA,4
1,lonely,0,3,NA,4
1,lonely,0,4,NA,4
1,lonely,0,5,NA,4
1,lonely,0,6,NA,4
1,lonely,0,7,NA,4
1,lonely,0,8,NA,4
1,lonely,0,9,NA,4
1,lonely,0,10,NA,4
1,happy,0,1,1566961128909,5
1,happy,0,2,1566961129668,5
1,happy,0,3,1566961131821,5
1,happy,0,4,1566961132962,5
1,friendship,2,1,1566961145313,6
1,friendship,3,1,1566961176450,6
1,friendship,4,1,1566961193860,6
1,friendship,5,1,1566961197842,6
1,friendship,6,1,1566961200809,6
1,friendship,7,1,1566961211823,6
1,friendship,8,1,1566961224358,6
1,friendship,9,1,1566961230911,6
1,friendship,10,1,1566961239162,6
1,friendship,11,1,1566961243756,6
1,friendship,12,1,1566964530083,6
2,info,0,1,1566993932868,1
2,info,0,2,1566993940390,1
2,info,0,3,1566993943210,1
2,info,0,4,NA,1
2,info,0,5,1566993944802,1
2,info,0,6,1566993950139,1
2,my_bigfive,0,1,1566993976662,2
2,my_bigfive,0,2,1566993979239,2
2,my_bigfive,0,3,1566993980812,2
2,my_bigfive,0,4,1566993982736,2
2,my_bigfive,0,5,1566993985150,2
2,my_bigfive,0,6,1566993986768,2
2,my_bigfive,0,7,1566993988176,2
2,my_bigfive,0,8,1566993989556,2
2,my_bigfive,0,9,1566993991066,2
2,my_bigfive,0,10,1566993992743,2
2,my_bigfive,0,11,1566993993805,2
2,my_bigfive,0,12,1566993995524,2
2,my_bigfive,0,13,1566993997015,2
2,my_bigfive,0,14,1566993998749,2
2,my_bigfive,0,15,1566994003087,2
2,my_bigfive,0,16,1566994004575,2
2,my_bigfive,0,17,1566994009350,2
2,my_bigfive,0,18,1566994010673,2
2,my_bigfive,0,19,1566994012395,2
2,my_bigfive,0,20,1566994014939,2
2,depression,0,1,1566994028725,3
2,depression,0,2,1566994029494,3
2,depression,0,3,1566994030685,3
2,depression,0,4,1566994031731,3
2,depression,0,5,1566994034780,3
2,depression,0,6,1566994036251,3
2,depression,0,7,1566994038178,3
2,depression,0,8,1566994039825,3
2,depression,0,9,1566994040821,3
2,lonely,0,1,1566994072157,4
2,lonely,0,2,1566994071154,4
2,lonely,0,3,1566994070251,4
2,lonely,0,4,1566994073285,4
2,lonely,0,5,1566994076543,4
2,lonely,0,6,1566994078569,4
2,lonely,0,7,1566994080640,4
2,lonely,0,8,1566994081897,4
2,lonely,0,9,1566994083031,4
2,lonely,0,10,1566994084233,4
2,happy,0,1,1566994091797,5
2,happy,0,2,1566994094390,5
2,happy,0,3,1566994096835,5
2,happy,0,4,1566994098714,5
2,friendship,1,1,1566994108746,6
2,friendship,3,1,1566994128717,6
2,friendship,4,1,1566994140599,6
2,friendship,5,1,1566994166907,6
2,friendship,6,1,1566994179013,6
2,friendship,7,1,1566994196012,6
2,friendship,8,1,1566994209913,6
2,friendship,9,1,1566994226619,6
2,friendship,10,1,1566994250950,6
2,friendship,11,1,1566994268341,6
2,friendship,12,1,1566994282747,6
2,friendship,13,1,1566994298967,6
2,friendship,14,1,1566994323632,6
2,friendship,15,1,1566994338069,6
2,friendship,16,1,1566994354206,6
2,friendship,17,1,1566994366905,6
2,friendship,18,1,1566994381523,6
2,friendship,19,1,1566994391813,6
2,friendship,20,1,1566994407897,6
2,friendship,21,1,1566994420110,6
2,friendship,22,1,1566994438187,6
2,friendship,23,1,1566994447862,6
2,friendship,24,1,1566994494242,6
2,friendship,25,1,1566994504885,6
2,friendship,26,1,1566994515672,6
2,friendship,27,1,1566994558849,6
2,friendship,28,1,1566994576625,6
2,friendship,29,1,1566994595167,6
2,friendship,30,1,1566994613373,6
2,friendship,31,1,1566994625623,6
2,friendship,32,1,1566994636763,6
2,friendship,33,1,1566994648845,6
2,friendship,34,1,1566994657703,6
2,friendship,35,1,1566994676566,6
2,friendship,36,1,1566994682775,6
2,friendship,37,1,1566994686832,6
2,friendship,38,1,1566994691287,6
2,friendship,39,1,1566994694953,6
2,friendship,40,1,1566994697667,6
2,friendship,41,1,1566994700297,6
2,friendship,42,1,1566994702795,6
2,friendship,43,1,1566994707029,6
2,friendship,44,1,1566994709381,6
2,friendship,45,1,1566994713412,6
2,friendship,46,1,1566994717022,6
2,friendship,47,1,1566994719491,6
2,friendship,48,1,1566994726119,6
2,friendship,49,1,1566994735005,6
2,friendship,50,1,1566994738633,6
2,friendship,51,1,1566994741939,6
2,friendship,52,1,1566994745555,6
2,friendship,53,1,1566994749097,6
2,friendship,54,1,1566994756169,6
2,friendship,55,1,1566994761059,6
2,friendship,56,1,1566994763915,6
2,friendship,57,1,1566994767077,6
2,friendship,58,1,1566994769345,6
2,friendship,59,1,1566994771989,6
2,friendship,60,1,1566994774417,6
2,friendship,61,1,1566994780215,6
2,friendship,62,1,1566994785085,6
2,friendship,63,1,1566994789465,6
2,friendship,64,1,1566994791670,6
2,friendship,65,1,1566994793813,6
2,friendship,66,1,1566994796108,6
2,friendship,67,1,1566994798471,6
2,friendship,68,1,1566994800776,6
2,friendship,69,1,1566994803559,6
2,friendship,70,1,1566994806287,6
2,friendship,71,1,1566994808160,6
2,friendship,72,1,1566994813842,6
2,friendship,73,1,1566994825857,6
2,friendship,74,1,1566994828354,6
2,friendship,75,1,1566994830885,6
2,friendship,76,1,1566994834569,6
2,friendship,77,1,1566994836683,6
2,friendship,78,1,1566994839392,6
2,friendship,79,1,1566994842023,6
2,friendship,80,1,1566994844141,6
2,friendship,81,1,1566994846737,6
2,friendship,82,1,1566994851293,6
2,friendship,83,1,1566994858099,6
2,friendship,84,1,1566994869159,6
2,friendship,85,1,1566994875189,6
2,friendship,86,1,1566994878714,6
2,friendship,87,1,1566994880795,6
2,friendship,88,1,1566994882860,6
2,friendship,89,1,1566994887907,6
2,friendship,90,1,1566994892325,6
2,friendship,91,1,1566994899073,6
2,friendship,92,1,1566994904377,6
2,friendship,93,1,1566994908147,6
2,friendship,94,1,1566994910663,6
2,friendship,95,1,1566994912761,6
2,friendship,96,1,1566994915609,6
2,friendship,97,1,1566994919556,6
2,friendship,98,1,1566994925651,6
2,friendship,99,1,1566994930984,6
2,friendship,100,1,1566994933433,6
2,friendship,101,1,1566994937807,6
2,friendship,102,1,1566994940411,6
2,friendship,103,1,1566994942997,6
2,friendship,104,1,1566994965798,6
2,friendship,105,1,1566994970220,6
2,friendship,106,1,1566994972779,6
2,friendship,107,1,1566994977751,6
2,friendship,108,1,1566994980013,6
2,friendship,109,1,1566994983293,6
2,friendship,110,1,1566994987543,6
2,friendship,111,1,1566994992853,6
2,friendship,112,1,1566994996135,6
2,friendship,113,1,1566994999619,6
2,friendship,114,1,1566995005692,6
2,friendship,115,1,1566995012429,6
2,friendship,116,1,1566995016621,6
2,friendship,117,1,1566995021269,6
2,friendship,118,1,1566995025053,6
2,friendship,119,1,1566995031015,6
2,friendship,120,1,1566995035496,6
2,friendship,121,1,1566995037784,6
2,friendship,122,1,1566995046872,6
2,friendship,123,1,1566995051081,6
2,friendship,124,1,1566995055363,6
2,friendship,125,1,1566995058975,6
2,friendship,126,1,1566995062473,6
2,friendship,127,1,1566995065968,6
2,friendship,128,1,1566995071507,6
2,friendship,129,1,1566995076183,6
2,friendship,130,1,1566995079335,6
2,friendship,131,1,1566995082785,6
2,friendship,132,1,1566995087126,6
2,friendship,133,1,1566995090145,6
2,friendship,134,1,1566995095873,6
2,friendship,135,1,1566995102049,6
