,0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
10,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,0.0
18,1.0
19,0.0
20,1.0
21,1.0
22,1.0
24,1.0
25,1.0
26,1.0
27,1.0
29,1.0
31,1.0
32,1.0
33,0.0
34,0.0
35,1.0
36,1.0
37,1.0
39,1.0
40,1.0
41,1.0
43,1.0
44,1.0
45,1.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,1.0
53,1.0
54,0.0
55,0.0
56,1.0
57,1.0
58,1.0
59,0.0
60,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,0.0
67,1.0
69,1.0
70,0.0
71,0.0
72,1.0
73,0.0
74,0.0
75,0.0
76,1.0
77,0.0
78,1.0
79,1.0
80,0.0
81,1.0
82,0.0
83,0.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,0.0
90,0.0
91,1.0
92,1.0
93,0.0
94,1.0
99,0.0
100,1.0
101,0.0
102,1.0
104,1.0
105,0.0
107,0.0
108,0.0
109,1.0
110,0.0
111,1.0
112,0.0
114,1.0
117,0.0
119,1.0
122,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,0.0
131,1.0
132,0.0
133,1.0
134,0.0
135,0.0
136,1.0
137,0.0
138,0.0
141,1.0
142,1.0
144,1.0
148,0.0
149,1.0
154,1.0
156,1.0
160,1.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
167,1.0
168,1.0
169,1.0
171,0.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
180,0.0
