,0
2,3.0
3,0.0
4,0.0
5,3.0
6,3.0
7,1.0
8,3.0
10,1.0
12,3.0
13,2.0
14,1.0
15,3.0
16,3.0
17,3.0
19,3.0
20,3.0
21,3.0
22,3.0
24,3.0
25,3.0
27,3.0
29,1.0
31,3.0
32,3.0
33,3.0
34,3.0
35,3.0
36,0.0
37,3.0
39,3.0
43,2.0
44,3.0
45,3.0
46,3.0
47,3.0
48,3.0
49,3.0
50,3.0
51,3.0
52,3.0
53,3.0
54,3.0
55,3.0
56,1.0
59,3.0
60,3.0
62,1.0
63,1.0
64,3.0
65,3.0
66,3.0
67,1.0
69,3.0
70,3.0
71,3.0
72,3.0
73,2.0
74,3.0
75,3.0
76,3.0
77,3.0
78,3.0
80,3.0
81,3.0
82,3.0
83,3.0
84,3.0
86,3.0
87,3.0
88,3.0
89,3.0
90,3.0
91,3.0
92,3.0
93,3.0
94,3.0
95,3.0
96,3.0
97,3.0
98,3.0
99,3.0
100,3.0
101,1.0
102,1.0
104,3.0
105,3.0
106,3.0
107,3.0
108,3.0
110,1.0
111,3.0
112,3.0
113,3.0
114,3.0
116,3.0
117,3.0
118,3.0
119,1.0
120,3.0
122,3.0
123,3.0
126,3.0
127,3.0
128,3.0
129,3.0
130,3.0
131,3.0
132,3.0
133,3.0
134,3.0
135,3.0
137,3.0
138,3.0
141,3.0
142,0.0
143,3.0
144,0.0
148,3.0
149,3.0
152,1.0
154,3.0
155,3.0
156,3.0
157,3.0
158,3.0
160,1.0
161,3.0
162,3.0
163,2.0
164,3.0
165,3.0
167,2.0
168,3.0
169,1.0
170,3.0
171,3.0
172,3.0
173,3.0
175,1.0
