,0
2,3.0
3,3.0
4,3.0
5,3.0
6,0.0
7,3.0
8,3.0
10,3.0
12,3.0
13,3.0
14,3.0
15,3.0
16,0.0
17,2.0
19,0.0
20,3.0
21,3.0
22,3.0
24,3.0
25,3.0
27,3.0
29,0.0
31,3.0
32,1.0
33,2.0
34,2.0
35,3.0
36,0.0
37,3.0
39,0.0
43,3.0
44,3.0
45,3.0
46,0.0
47,1.0
48,1.0
49,1.0
50,0.0
51,1.0
52,3.0
53,3.0
54,0.0
55,0.0
56,1.0
59,2.0
60,3.0
62,1.0
63,3.0
64,3.0
65,3.0
66,0.0
67,3.0
69,3.0
70,2.0
71,2.0
72,0.0
73,0.0
74,0.0
75,0.0
76,3.0
77,2.0
78,3.0
80,1.0
81,0.0
82,0.0
83,2.0
84,1.0
86,3.0
87,3.0
88,3.0
89,1.0
90,1.0
91,3.0
92,3.0
93,2.0
94,1.0
95,0.0
96,0.0
97,1.0
98,2.0
99,0.0
100,3.0
101,0.0
102,3.0
104,3.0
105,0.0
106,1.0
107,0.0
108,2.0
110,1.0
111,0.0
112,0.0
113,0.0
114,3.0
116,0.0
117,0.0
118,2.0
119,3.0
120,2.0
122,3.0
123,2.0
126,3.0
127,3.0
128,3.0
129,3.0
130,1.0
131,1.0
132,3.0
133,3.0
134,2.0
135,1.0
137,1.0
138,2.0
141,3.0
142,3.0
143,0.0
144,3.0
148,2.0
149,3.0
152,0.0
154,0.0
155,2.0
156,0.0
157,0.0
158,3.0
160,0.0
161,1.0
162,2.0
163,1.0
164,0.0
165,0.0
167,0.0
168,3.0
169,0.0
170,2.0
171,0.0
172,1.0
173,3.0
175,3.0
